Brand,Year,Engine_Size_L,Horsepower,Weight_kg,Fuel_Type,Transmission,Mileage_MPG,Price
Ford,2021,3.0,64,1873,Diesel,Manual,41.5,564869
Mahindra,2017,2.4,151,2007,Petrol,Automatic,39.9,561150
Maruti,2011,3.1,229,1945,Petrol,Manual,31.2,443114
Hyundai,2010,3.7,376,2382,CNG,Automatic,26.5,672819
Honda,2012,2.9,81,2462,Diesel,Manual,39.7,398832
Honda,2018,2.6,385,1748,Petrol,Automatic,19.9,825587
Toyota,2013,2.3,60,2305,Petrol,Manual,45.0,449959
Tata,2019,2.7,192,1647,Diesel,Manual,33.4,604368
Hyundai,2014,2.1,292,2363,Petrol,Automatic,24.8,549098
Maruti,2011,2.2,71,1888,Petrol,Manual,38.0,239799
Toyota,2013,2.6,105,920,Diesel,Manual,36.0,378326
Kia,2011,1.2,93,1202,Diesel,Automatic,42.0,405950
Tata,2024,1.7,137,1768,Diesel,Automatic,36.5,557874
Honda,2011,2.6,277,983,Petrol,Automatic,35.3,606909
Honda,2013,2.3,360,2376,Diesel,Automatic,27.0,647783
Honda,2015,2.0,132,2310,Petrol,Manual,37.9,414264
Ford,2016,3.2,341,2430,Petrol,Manual,28.8,763959
Audi,2019,3.1,308,2180,Diesel,Manual,25.0,1321111
BMW,2012,1.5,106,1469,Diesel,Automatic,33.1,1064223
Ford,2012,3.6,180,1833,CNG,Automatic,31.2,652390
Hyundai,2019,2.5,273,2450,Diesel,Automatic,29.1,717895
Toyota,2015,3.2,298,2085,Diesel,Automatic,26.5,733828
Ford,2022,2.7,115,2086,Petrol,Manual,40.6,513546
Ford,2021,4.0,166,1908,Petrol,Manual,34.7,632841
BMW,2012,3.3,378,1692,Petrol,Manual,24.6,1230373
Maruti,2022,3.1,107,1691,Petrol,Manual,43.1,558821
Honda,2011,3.3,120,2447,Electric,Manual,37.4,492905
Audi,2017,1.4,396,2194,Petrol,Automatic,22.9,1401118
Hyundai,2014,1.6,85,1391,CNG,Manual,34.6,227022
Toyota,2024,3.1,351,1107,Diesel,Manual,23.6,899370
Hyundai,2010,2.5,316,2462,Diesel,Manual,22.3,608409
Honda,2012,3.3,67,1983,Diesel,Automatic,41.4,534199
Toyota,2019,1.3,172,1329,Diesel,Automatic,35.4,510038
Mahindra,2017,2.6,312,1884,Diesel,Manual,27.0,683014
Kia,2013,2.1,239,2232,Petrol,Manual,29.2,473284
Tata,2023,2.4,266,1419,Diesel,Automatic,35.9,686180
Ford,2016,2.8,362,1490,Petrol,Manual,19.5,722154
Toyota,2019,2.5,186,1950,Petrol,Automatic,29.9,636349
Maruti,2021,2.6,115,2485,Diesel,Automatic,43.1,547139
BMW,2023,2.5,273,1098,Petrol,Manual,26.5,1419421
Toyota,2023,2.2,73,1286,Electric,Manual,37.8,594519
Audi,2011,3.3,87,1248,Electric,Automatic,45.0,1082520
Toyota,2016,1.0,137,1859,CNG,Manual,39.7,454080
Mahindra,2014,2.8,275,1592,Petrol,Manual,26.7,470930
Honda,2014,2.7,213,2459,Petrol,Automatic,32.9,587900
Maruti,2015,3.1,73,1277,Electric,Automatic,45.0,366685
Ford,2022,2.8,246,1798,Petrol,Automatic,32.3,827922
Audi,2018,3.5,371,1815,Electric,Automatic,26.6,1312514
Hyundai,2023,3.9,66,2481,Electric,Manual,43.5,605545
Honda,2015,2.0,62,1426,CNG,Manual,44.1,423570
Kia,2021,1.7,170,2076,Petrol,Automatic,34.9,661938
Maruti,2022,2.3,297,1633,Petrol,Automatic,27.2,696942
Mahindra,2024,1.9,298,1105,CNG,Manual,27.9,699231
Tata,2023,2.8,333,1354,Petrol,Automatic,27.2,763412
Hyundai,2017,3.7,353,2196,Petrol,Manual,23.0,633065
Mahindra,2016,1.4,286,2159,Diesel,Manual,28.2,575336
Toyota,2018,1.3,74,1420,Electric,Manual,39.6,439355
Honda,2013,1.8,251,1916,Diesel,Manual,30.3,415324
Toyota,2011,3.2,178,1855,Diesel,Manual,30.6,494059
Ford,2016,2.8,87,1625,Petrol,Manual,45.0,458233
BMW,2015,1.3,261,1913,Diesel,Manual,27.1,1171884
Honda,2010,3.8,98,1400,Electric,Automatic,38.0,615752
Tata,2020,3.4,332,1016,Petrol,Automatic,22.6,781720
Ford,2018,1.1,290,1285,Diesel,Automatic,29.4,677342
Ford,2018,3.0,145,2267,CNG,Automatic,35.7,768788
Hyundai,2021,3.3,185,1483,Diesel,Manual,31.0,646944
Toyota,2011,2.1,359,1294,Diesel,Manual,25.4,619912
Tata,2012,1.2,84,1987,Diesel,Automatic,42.3,303229
Toyota,2014,1.2,204,1620,Petrol,Manual,32.6,499010
Kia,2014,1.3,72,971,Petrol,Automatic,38.7,389280
Maruti,2024,3.5,271,1173,CNG,Manual,35.3,686371
Honda,2010,3.7,84,2243,CNG,Automatic,41.0,547920
Toyota,2017,1.4,127,1237,CNG,Manual,33.6,449583
Tata,2021,1.7,126,2289,CNG,Automatic,41.7,546477
Maruti,2017,1.5,292,2418,Diesel,Manual,24.9,541046
Maruti,2013,1.6,168,1506,Diesel,Automatic,43.1,386294
Maruti,2022,3.5,205,1065,Diesel,Manual,32.9,557868
Toyota,2016,2.0,170,2467,Diesel,Automatic,37.8,598482
Ford,2024,1.9,287,910,Diesel,Automatic,21.5,771518
Toyota,2024,1.7,170,2224,Diesel,Manual,30.9,688616
Tata,2020,2.8,93,1628,CNG,Automatic,43.4,484311
Hyundai,2019,2.1,170,1700,Petrol,Automatic,35.8,579423
Ford,2012,3.2,323,1001,Petrol,Manual,31.7,755702
Toyota,2015,1.6,295,2348,Petrol,Automatic,28.8,691652
Ford,2023,3.4,142,2315,Diesel,Automatic,36.9,767564
Ford,2019,2.8,101,1678,Petrol,Automatic,44.1,673834
Maruti,2022,1.3,160,1113,Diesel,Manual,38.4,429852
Hyundai,2019,2.2,65,2011,Diesel,Manual,40.5,362929
Tata,2021,3.6,239,2476,Petrol,Automatic,27.4,715025
Audi,2023,3.8,341,1300,Diesel,Automatic,17.4,1501070
Toyota,2018,2.4,379,1487,Petrol,Manual,20.9,662289
Maruti,2010,2.4,285,1788,Petrol,Automatic,24.3,526753
Maruti,2014,3.8,374,1969,CNG,Manual,30.4,682692
Hyundai,2013,2.8,288,2386,Petrol,Manual,25.8,489752
Maruti,2017,1.1,348,1491,Petrol,Manual,22.1,540177
Audi,2020,3.7,209,2233,Diesel,Manual,27.9,1296813
Audi,2021,1.7,336,2009,Diesel,Automatic,24.0,1378133
BMW,2010,2.7,257,991,Petrol,Manual,27.6,1174650
Toyota,2018,1.5,129,1572,Diesel,Automatic,42.5,565959
Toyota,2015,1.1,171,1613,Petrol,Automatic,35.2,490424
Toyota,2013,1.9,63,1835,Petrol,Automatic,41.2,448042
Hyundai,2021,3.3,390,1141,Diesel,Manual,21.2,732697
Ford,2018,1.8,377,901,Diesel,Manual,24.7,687587
Audi,2020,1.7,154,1124,Diesel,Automatic,34.4,1242863
Mahindra,2014,1.6,211,1700,Diesel,Automatic,34.3,433207
Honda,2024,2.5,370,1488,Electric,Manual,27.6,788212
BMW,2014,3.9,196,1015,Diesel,Automatic,34.6,1238629
Maruti,2021,2.4,306,1817,Petrol,Automatic,25.9,652797
Honda,2014,2.7,302,2026,Diesel,Automatic,24.0,694537
Toyota,2010,3.6,90,1093,Petrol,Automatic,38.8,472502
Ford,2010,2.6,99,2089,Petrol,Automatic,40.7,505912
Honda,2017,1.6,288,1770,Petrol,Manual,23.1,497791
Mahindra,2021,1.9,95,989,Petrol,Automatic,41.8,559349
Tata,2017,1.9,282,1021,Electric,Automatic,28.7,518123
